index,Status,PDF Page,Account,Fund,Department,Line Item,Type,2027 Requested,2027 Approved,2026 Budget,2026 YTD,% Used,2025 Actual,2024 Actual,OCR Source Line
0,Verified,3,010-306-103,General Fund,Justice Of Peace,LOCAL CCC 01-01-2020,Revenue,22500.0,,10000,27630.31,276.3,21833.92,8398.95,"2027 010-306-103 LOCAL CCC 01-01-2020 22,500.00 10,000.00 27,630.31 276.30 21,833.92 8,398.95"
1,Verified,13,010-435-103,General Fund,District Clerk's Office,P/T DEPUTY,Expenditure,,,4000,0.0,0.0,0.0,0.0,"2027 010-435-103 P/T DEPUTY 4,000.00 00.00 00 00"
2,Verified,13,010-435-183,General Fund,District Clerk's Office,LANGUAGE SKILLS PAY,Expenditure,,,1500,0.0,0.0,1500.0,600.08,"2027 010-435-183 LANGUAGE SKILLS PAY 1,500.00 00.00 ‘1,500.00 600.08"
3,Verified,13,010-435-208,General Fund,District Clerk's Office,MISC TRAVEL & MEAL,Expenditure,100.0,,100,0.0,0.0,0.0,0.0,2027 010-435-208 MISC TRAVEL & MEAL 100.00 100.00 00.00 00 00
4,Verified,14,010-455-915,General Fund,Justice of the Peace,POSTAGE,Expenditure,700.0,,700,1106.74,158.11,515.9,376.88,"2027 010-455-915 POSTAGE 700.00 700.00 1,106.74 168.11 515.90 376.88"
5,Verified,22,010-510-604,General Fund,County Building Maintenance,TELEPHONE,Expenditure,250.0,,250,0.0,0.0,82.48,247.44,2027 010-510-604 TELEPHONE 250.00 250.00 00.00 82.48 247.44
6,Verified,22,010-510-697,General Fund,County Building Maintenance,TOTAL,Expenditure,250.0,,250,0.0,0.0,82.48,247.44,"2027 010-510-697 TOTAL 250,00 250.00 00.00 82.48 247.44"
7,Corrected,45,014-624-103,Road & Bridge Precinct 4,Precinct 4,COMMISSIONER SALARY,Expenditure,67977.0,,64740,62250.0,96.15,61657.0,58721.0,"2027 014-624-103 COMMISSIONER SALARY 67,977.00 64,740.00 62,250.00 996.15 61,657.00 58,721.00"
8,Verified,46,014-624-897,Road & Bridge Precinct 4,Precinct 4,TOTAL EQUIPMENT/CAPITAL OU,Expenditure,199000.0,,199000,1166.96,0.59,117963.83,25487.58,"2027 014-624-897 TOTAL EQUIPMENT/CAPITAL OU 199,000.00 199 000.00 1,166.96 -59 117,963.83 25,487.58"
9,Verified,47,015-304-201,Road & Bridge,Road & Brioge Income Acc,COUNTY SPECIAL AD VALOR 1409.096.00,Revenue,1409096.0,,1543006,1238579.8,80.27,1356683.71,1262804.44,"2027 015-304-201 COUNTY SPECIAL AD VALOR 1409.096.00 1543,006.00 128,579.80 80.27 1956,683.71 1262,804.44"
10,Corrected,49,016-300-000,Road & Bridge Heavy Equipment,R&B Heavy Equipment,R&B HEAVY EQUIPMENT INCOM,Revenue,,,0,0.0,0.0,0.0,0.0,2027 016-300-000 R&B HEAVY EQUIPMENT INCOM 00 00.00 00 oo
